model,dataset,stratum,level_n_problems,N,T,mean_acc,std_acc,source,dataset_family
Llama-3.2-3B,mathfull,L2,363,256,0.2,0.99,0.003,markdown,mathfull
Llama-3.2-3B,mathfull,L2,363,256,0.3,0.983,0.0,markdown,mathfull
Llama-3.2-3B,mathfull,L2,363,256,0.4,0.972,0.005,markdown,mathfull
Llama-3.2-3B,mathfull,L2,363,256,0.5,0.971,0.003,markdown,mathfull
Llama-3.2-3B,mathfull,L2,363,256,0.6,0.961,0.002,markdown,mathfull
Llama-3.2-3B,mathfull,L2,363,256,0.7,0.961,0.002,markdown,mathfull
Llama-3.2-3B,mathfull,L2,363,256,0.8,0.96,0.002,markdown,mathfull
Llama-3.2-3B,mathfull,L2,363,256,0.9,0.952,0.005,markdown,mathfull
Llama-3.2-3B,mathfull,L2,363,256,1.0,0.942,0.004,markdown,mathfull
Llama-3.2-3B,mathfull,L2,363,256,1.1,0.781,0.007,markdown,mathfull
Llama-3.2-3B,mathfull,L2,363,256,1.2,0.325,0.007,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,1,0.1,0.491,0.046,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,1,0.2,0.484,0.009,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,1,0.3,0.494,0.023,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,1,0.4,0.477,0.018,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,1,0.5,0.469,0.019,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,1,0.6,0.468,0.029,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,1,0.7,0.467,0.025,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,1,0.8,0.435,0.017,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,1,0.9,0.42,0.016,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,1,1.0,0.378,0.018,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,1,1.1,0.303,0.022,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,1,1.2,0.178,0.021,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,2,0.1,0.491,0.046,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,2,0.2,0.484,0.009,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,2,0.3,0.494,0.023,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,2,0.4,0.477,0.018,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,2,0.5,0.469,0.019,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,2,0.6,0.468,0.029,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,2,0.7,0.467,0.025,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,2,0.8,0.435,0.017,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,2,0.9,0.42,0.016,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,2,1.0,0.378,0.018,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,2,1.1,0.303,0.022,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,2,1.2,0.178,0.021,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,4,0.1,0.646,0.034,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,4,0.2,0.633,0.008,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,4,0.3,0.65,0.023,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,4,0.4,0.63,0.018,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,4,0.5,0.637,0.021,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,4,0.6,0.609,0.029,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,4,0.7,0.609,0.016,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,4,0.8,0.571,0.021,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,4,0.9,0.536,0.019,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,4,1.0,0.503,0.021,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,4,1.1,0.37,0.022,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,4,1.2,0.191,0.019,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,8,0.1,0.739,0.021,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,8,0.2,0.746,0.013,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,8,0.3,0.756,0.018,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,8,0.4,0.752,0.021,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,8,0.5,0.755,0.013,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,8,0.6,0.73,0.024,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,8,0.7,0.733,0.024,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,8,0.8,0.702,0.022,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,8,0.9,0.658,0.017,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,8,1.0,0.625,0.012,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,8,1.1,0.473,0.015,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,8,1.2,0.2,0.009,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,16,0.1,0.816,0.018,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,16,0.2,0.817,0.012,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,16,0.3,0.824,0.012,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,16,0.4,0.827,0.016,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,16,0.5,0.824,0.018,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,16,0.6,0.819,0.017,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,16,0.7,0.802,0.022,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,16,0.8,0.795,0.011,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,16,0.9,0.748,0.011,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,16,1.0,0.725,0.021,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,16,1.1,0.501,0.016,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,16,1.2,0.196,0.008,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,32,0.1,0.846,0.022,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,32,0.2,0.865,0.018,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,32,0.3,0.867,0.009,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,32,0.4,0.861,0.01,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,32,0.5,0.867,0.013,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,32,0.6,0.862,0.008,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,32,0.7,0.84,0.018,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,32,0.8,0.838,0.008,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,32,0.9,0.806,0.016,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,32,1.0,0.778,0.017,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,32,1.1,0.547,0.016,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,32,1.2,0.196,0.01,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,64,0.1,0.867,0.012,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,64,0.2,0.884,0.008,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,64,0.3,0.888,0.009,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,64,0.4,0.883,0.009,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,64,0.5,0.893,0.01,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,64,0.6,0.882,0.004,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,64,0.7,0.872,0.009,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,64,0.8,0.873,0.009,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,64,0.9,0.835,0.011,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,64,1.0,0.813,0.008,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,64,1.1,0.549,0.008,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,64,1.2,0.192,0.006,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,128,0.1,0.889,0.008,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,128,0.2,0.895,0.007,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,128,0.3,0.894,0.003,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,128,0.4,0.898,0.007,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,128,0.5,0.894,0.009,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,128,0.6,0.892,0.004,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,128,0.7,0.888,0.009,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,128,0.8,0.878,0.013,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,128,0.9,0.855,0.013,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,128,1.0,0.817,0.012,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,128,1.1,0.554,0.006,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,128,1.2,0.187,0.008,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,256,0.1,0.897,0.006,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,256,0.2,0.896,0.005,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,256,0.3,0.896,0.006,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,256,0.4,0.902,0.006,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,256,0.5,0.899,0.012,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,256,0.6,0.896,0.009,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,256,0.7,0.887,0.007,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,256,0.8,0.886,0.002,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,256,0.9,0.861,0.009,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,256,1.0,0.836,0.005,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,256,1.1,0.551,0.013,markdown,mathfull
Llama-3.2-3B,mathfull,L3,310,256,1.2,0.183,0.003,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,1,0.1,0.301,0.012,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,1,0.2,0.348,0.015,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,1,0.3,0.344,0.02,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,1,0.4,0.354,0.01,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,1,0.5,0.363,0.005,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,1,0.6,0.338,0.012,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,1,0.7,0.345,0.013,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,1,0.8,0.327,0.012,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,1,0.9,0.318,0.023,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,1,1.0,0.295,0.025,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,1,1.1,0.215,0.014,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,1,1.2,0.132,0.012,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,2,0.1,0.301,0.012,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,2,0.2,0.348,0.015,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,2,0.3,0.344,0.02,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,2,0.4,0.354,0.01,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,2,0.5,0.363,0.005,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,2,0.6,0.338,0.012,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,2,0.7,0.345,0.013,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,2,0.8,0.327,0.012,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,2,0.9,0.318,0.023,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,2,1.0,0.295,0.025,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,2,1.1,0.215,0.014,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,2,1.2,0.132,0.012,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,4,0.1,0.357,0.015,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,4,0.2,0.425,0.008,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,4,0.3,0.447,0.023,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,4,0.4,0.435,0.01,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,4,0.5,0.451,0.018,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,4,0.6,0.441,0.012,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,4,0.7,0.447,0.013,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,4,0.8,0.422,0.015,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,4,0.9,0.404,0.01,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,4,1.0,0.371,0.022,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,4,1.1,0.263,0.009,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,4,1.2,0.132,0.009,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,8,0.1,0.433,0.009,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,8,0.2,0.518,0.017,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,8,0.3,0.553,0.024,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,8,0.4,0.54,0.02,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,8,0.5,0.565,0.017,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,8,0.6,0.547,0.01,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,8,0.7,0.564,0.021,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,8,0.8,0.55,0.02,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,8,0.9,0.518,0.024,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,8,1.0,0.473,0.022,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,8,1.1,0.326,0.014,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,8,1.2,0.141,0.006,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,16,0.1,0.465,0.02,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,16,0.2,0.592,0.011,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,16,0.3,0.631,0.012,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,16,0.4,0.625,0.008,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,16,0.5,0.654,0.007,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,16,0.6,0.635,0.022,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,16,0.7,0.639,0.016,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,16,0.8,0.619,0.016,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,16,0.9,0.592,0.009,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,16,1.0,0.553,0.024,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,16,1.1,0.36,0.012,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,16,1.2,0.132,0.016,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,32,0.1,0.506,0.015,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,32,0.2,0.631,0.019,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,32,0.3,0.675,0.012,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,32,0.4,0.678,0.013,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,32,0.5,0.698,0.012,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,32,0.6,0.689,0.007,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,32,0.7,0.692,0.017,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,32,0.8,0.684,0.008,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,32,0.9,0.652,0.008,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,32,1.0,0.607,0.024,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,32,1.1,0.376,0.012,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,32,1.2,0.132,0.004,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,64,0.1,0.528,0.013,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,64,0.2,0.665,0.011,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,64,0.3,0.702,0.014,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,64,0.4,0.71,0.016,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,64,0.5,0.733,0.008,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,64,0.6,0.722,0.016,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,64,0.7,0.728,0.006,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,64,0.8,0.72,0.009,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,64,0.9,0.691,0.012,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,64,1.0,0.643,0.013,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,64,1.1,0.374,0.016,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,64,1.2,0.133,0.007,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,128,0.1,0.541,0.017,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,128,0.2,0.679,0.011,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,128,0.3,0.722,0.01,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,128,0.4,0.731,0.01,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,128,0.5,0.745,0.002,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,128,0.6,0.746,0.013,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,128,0.7,0.748,0.013,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,128,0.8,0.736,0.012,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,128,0.9,0.711,0.008,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,128,1.0,0.669,0.006,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,128,1.1,0.375,0.012,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,128,1.2,0.134,0.008,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,256,0.1,0.539,0.01,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,256,0.2,0.683,0.009,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,256,0.3,0.727,0.009,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,256,0.4,0.745,0.006,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,256,0.5,0.755,0.004,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,256,0.6,0.763,0.012,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,256,0.7,0.755,0.007,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,256,0.8,0.747,0.009,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,256,0.9,0.73,0.012,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,256,1.0,0.685,0.005,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,256,1.1,0.379,0.012,markdown,mathfull
Llama-3.2-3B,mathfull,L4,476,256,1.2,0.132,0.006,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,1,0.1,0.052,0.004,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,1,0.2,0.069,0.005,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,1,0.3,0.082,0.004,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,1,0.4,0.088,0.004,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,1,0.5,0.102,0.009,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,1,0.6,0.1,0.007,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,1,0.7,0.096,0.006,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,1,0.8,0.101,0.008,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,1,0.9,0.095,0.008,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,1,1.0,0.085,0.005,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,1,1.1,0.07,0.003,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,1,1.2,0.04,0.005,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,2,0.1,0.052,0.004,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,2,0.2,0.069,0.005,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,2,0.3,0.082,0.004,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,2,0.4,0.088,0.004,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,2,0.5,0.102,0.009,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,2,0.6,0.1,0.007,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,2,0.7,0.096,0.006,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,2,0.8,0.101,0.008,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,2,0.9,0.095,0.008,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,2,1.0,0.085,0.005,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,2,1.1,0.07,0.003,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,2,1.2,0.04,0.005,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,4,0.1,0.046,0.002,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,4,0.2,0.066,0.005,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,4,0.3,0.085,0.004,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,4,0.4,0.093,0.006,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,4,0.5,0.107,0.007,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,4,0.6,0.112,0.008,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,4,0.7,0.107,0.004,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,4,0.8,0.112,0.006,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,4,0.9,0.11,0.003,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,4,1.0,0.098,0.006,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,4,1.1,0.074,0.003,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,4,1.2,0.037,0.006,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,8,0.1,0.049,0.005,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,8,0.2,0.077,0.007,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,8,0.3,0.1,0.003,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,8,0.4,0.115,0.005,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,8,0.5,0.126,0.005,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,8,0.6,0.132,0.008,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,8,0.7,0.135,0.003,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,8,0.8,0.136,0.007,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,8,0.9,0.14,0.005,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,8,1.0,0.122,0.007,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,8,1.1,0.084,0.004,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,8,1.2,0.035,0.004,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,16,0.1,0.051,0.005,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,16,0.2,0.087,0.005,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,16,0.3,0.113,0.005,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,16,0.4,0.131,0.006,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,16,0.5,0.143,0.005,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,16,0.6,0.149,0.007,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,16,0.7,0.154,0.004,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,16,0.8,0.16,0.01,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,16,0.9,0.162,0.006,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,16,1.0,0.145,0.006,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,16,1.1,0.085,0.008,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,16,1.2,0.033,0.002,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,32,0.1,0.052,0.004,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,32,0.2,0.091,0.002,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,32,0.3,0.119,0.005,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,32,0.4,0.141,0.006,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,32,0.5,0.152,0.005,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,32,0.6,0.164,0.003,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,32,0.7,0.168,0.004,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,32,0.8,0.177,0.005,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,32,0.9,0.178,0.007,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,32,1.0,0.157,0.007,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,32,1.1,0.087,0.004,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,32,1.2,0.029,0.002,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,64,0.1,0.05,0.003,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,64,0.2,0.093,0.004,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,64,0.3,0.123,0.006,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,64,0.4,0.149,0.005,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,64,0.5,0.162,0.004,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,64,0.6,0.169,0.007,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,64,0.7,0.181,0.005,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,64,0.8,0.186,0.003,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,64,0.9,0.186,0.005,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,64,1.0,0.166,0.003,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,64,1.1,0.086,0.001,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,64,1.2,0.029,0.001,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,128,0.1,0.054,0.002,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,128,0.2,0.095,0.004,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,128,0.3,0.13,0.005,markdown,mathfull
Llama-3.2-3B,mathfull,L5,1743,128,0.4,0.155,0.005,markdown,mathfull
