combo,N,stratum,equal_mix_mean,equal_mix_std6,n_pids
aime2023_Qwen2.5-3B,1,L1,0.9583333333333334,0.017078251276599326,2
aime2023_Qwen2.5-3B,1,L2,,,0
aime2023_Qwen2.5-3B,1,L3,,,0
aime2023_Qwen2.5-3B,1,L4,,,0
aime2023_Qwen2.5-3B,1,L5,0.016666666666666666,0.006334307917217432,9
aime2023_Qwen2.5-3B,1,overall,0.1878787878787879,0.00926599081904282,11
aime2023_Qwen2.5-3B,2,L1,0.946875,0.018006075363609937,2
aime2023_Qwen2.5-3B,2,L2,,,0
aime2023_Qwen2.5-3B,2,L3,,,0
aime2023_Qwen2.5-3B,2,L4,,,0
aime2023_Qwen2.5-3B,2,L5,0.017592592592592594,0.0025859703784757286,9
aime2023_Qwen2.5-3B,2,overall,0.1865530303030303,0.008026222281231952,11
aime2023_Qwen2.5-3B,4,L1,0.9961805555555556,0.004252586358998581,2
aime2023_Qwen2.5-3B,4,L2,,,0
aime2023_Qwen2.5-3B,4,L3,,,0
aime2023_Qwen2.5-3B,4,L4,,,0
aime2023_Qwen2.5-3B,4,L5,0.01566358024691358,0.0030346742540304046,9
aime2023_Qwen2.5-3B,4,overall,0.19393939393939394,0.003289821934033907,11
aime2023_Qwen2.5-3B,8,L1,1.0,0.0,2
aime2023_Qwen2.5-3B,8,L2,,,0
aime2023_Qwen2.5-3B,8,L3,,,0
aime2023_Qwen2.5-3B,8,L4,,,0
aime2023_Qwen2.5-3B,8,L5,0.017825176366843033,0.0028180321061577382,9
aime2023_Qwen2.5-3B,8,overall,0.196402417027417,0.0025490059481727803,11
aime2023_Qwen2.5-3B,16,L1,1.0,0.0,2
aime2023_Qwen2.5-3B,16,L2,,,0
aime2023_Qwen2.5-3B,16,L3,,,0
aime2023_Qwen2.5-3B,16,L4,,,0
aime2023_Qwen2.5-3B,16,L5,0.014006132756132756,0.0077761141563873395,9
aime2023_Qwen2.5-3B,16,overall,0.19327774498229042,0.0070337599046475865,11
aime2023_Qwen2.5-3B,32,L1,1.0,0.0,2
aime2023_Qwen2.5-3B,32,L2,,,0
aime2023_Qwen2.5-3B,32,L3,,,0
aime2023_Qwen2.5-3B,32,L4,,,0
aime2023_Qwen2.5-3B,32,L5,0.008788580246913579,0.005090186019474008,9
aime2023_Qwen2.5-3B,32,overall,0.1890088383838384,0.004604246492647629,11
aime2023_Qwen2.5-3B,64,L1,1.0,0.0,2
aime2023_Qwen2.5-3B,64,L2,,,0
aime2023_Qwen2.5-3B,64,L3,,,0
aime2023_Qwen2.5-3B,64,L4,,,0
aime2023_Qwen2.5-3B,64,L5,0.0013117283950617286,0.001256555739865573,9
aime2023_Qwen2.5-3B,64,overall,0.18289141414141416,0.0011365974319913264,11
aime2023_Qwen2.5-3B,128,L1,1.0,0.0,2
aime2023_Qwen2.5-3B,128,L2,,,0
aime2023_Qwen2.5-3B,128,L3,,,0
aime2023_Qwen2.5-3B,128,L4,,,0
aime2023_Qwen2.5-3B,128,L5,0.000462962962962963,0.0007172191381865587,9
aime2023_Qwen2.5-3B,128,overall,0.18219696969696972,0.0006487491201346026,11
aime2023_Qwen2.5-3B,256,L1,1.0,0.0,2
aime2023_Qwen2.5-3B,256,L2,,,0
aime2023_Qwen2.5-3B,256,L3,,,0
aime2023_Qwen2.5-3B,256,L4,,,0
aime2023_Qwen2.5-3B,256,L5,0.0,0.0,9
aime2023_Qwen2.5-3B,256,overall,0.18181818181818182,0.0,11
