combo,N,stratum,equal_mix_mean,equal_mix_std6,n_pids
aime2026_Qwen3-4B-Instruct-2507,1,L1,0.9208333333333334,0.017724747294860548,5
aime2026_Qwen3-4B-Instruct-2507,1,L2,0.6625,0.06471089552772394,1
aime2026_Qwen3-4B-Instruct-2507,1,L3,0.4947916666666667,0.029425931024636552,4
aime2026_Qwen3-4B-Instruct-2507,1,L4,0.2989583333333333,0.046337192585078624,4
aime2026_Qwen3-4B-Instruct-2507,1,L5,0.01944444444444444,0.01308802109932194,6
aime2026_Qwen3-4B-Instruct-2507,1,overall,0.42791666666666667,0.030690547766734667,20
aime2026_Qwen3-4B-Instruct-2507,2,L1,0.9370833333333334,0.010537630979810739,5
aime2026_Qwen3-4B-Instruct-2507,2,L2,0.7104166666666667,0.038256263103793424,1
aime2026_Qwen3-4B-Instruct-2507,2,L3,0.5239583333333333,0.012757759076995733,4
aime2026_Qwen3-4B-Instruct-2507,2,L4,0.31979166666666664,0.024579802006254363,4
aime2026_Qwen3-4B-Instruct-2507,2,L5,0.030208333333333334,0.00820209153542897,6
aime2026_Qwen3-4B-Instruct-2507,2,overall,0.44760416666666664,0.016568198705149976,20
aime2026_Qwen3-4B-Instruct-2507,4,L1,0.9792361111111112,0.008657914918774693,5
aime2026_Qwen3-4B-Instruct-2507,4,L2,0.859027777777778,0.0377231017734147,1
aime2026_Qwen3-4B-Instruct-2507,4,L3,0.7037326388888889,0.019986477271566636,4
aime2026_Qwen3-4B-Instruct-2507,4,L4,0.39036458333333335,0.014155747936890421,4
aime2026_Qwen3-4B-Instruct-2507,4,L5,0.02378472222222222,0.005200225170219811,6
aime2026_Qwen3-4B-Instruct-2507,4,overall,0.5137152777777778,0.014763911753928133,20
aime2026_Qwen3-4B-Instruct-2507,8,L1,0.9975,0.003872983346207421,5
aime2026_Qwen3-4B-Instruct-2507,8,L2,0.9645833333333335,0.018399501804849696,1
aime2026_Qwen3-4B-Instruct-2507,8,L3,0.8693105158730159,0.02163169000061466,4
aime2026_Qwen3-4B-Instruct-2507,8,L4,0.49940600198412693,0.02157077095833584,4
aime2026_Qwen3-4B-Instruct-2507,8,L5,0.02314732142857143,0.006334926083375237,6
aime2026_Qwen3-4B-Instruct-2507,8,overall,0.5782916666666666,0.014810877903818437,20
aime2026_Qwen3-4B-Instruct-2507,16,L1,1.0,0.0,5
aime2026_Qwen3-4B-Instruct-2507,16,L2,0.9958333333333332,0.010206207261596583,1
aime2026_Qwen3-4B-Instruct-2507,16,L3,0.9520833333333333,0.011967838846954217,4
aime2026_Qwen3-4B-Instruct-2507,16,L4,0.5499999999999999,0.02737820250166587,4
aime2026_Qwen3-4B-Instruct-2507,16,L5,0.01480324074074074,0.007846474480926792,6
aime2026_Qwen3-4B-Instruct-2507,16,overall,0.6046493055555555,0.014221023509053837,20
aime2026_Qwen3-4B-Instruct-2507,32,L1,1.0,0.0,5
aime2026_Qwen3-4B-Instruct-2507,32,L2,1.0,0.0,1
aime2026_Qwen3-4B-Instruct-2507,32,L3,0.9885416666666668,0.008539125638299673,4
aime2026_Qwen3-4B-Instruct-2507,32,L4,0.5826388888888889,0.03014480868641797,4
aime2026_Qwen3-4B-Instruct-2507,32,L5,0.005902777777777778,0.006772168671741609,6
aime2026_Qwen3-4B-Instruct-2507,32,overall,0.6160069444444445,0.014494271697365032,20
aime2026_Qwen3-4B-Instruct-2507,64,L1,1.0,0.0,5
aime2026_Qwen3-4B-Instruct-2507,64,L2,1.0,0.0,1
aime2026_Qwen3-4B-Instruct-2507,64,L3,0.9989583333333334,0.00161374306091978,4
aime2026_Qwen3-4B-Instruct-2507,64,L4,0.6244791666666667,0.013752367220470319,4
aime2026_Qwen3-4B-Instruct-2507,64,L5,0.0019675925925925924,0.0026504376919383966,6
aime2026_Qwen3-4B-Instruct-2507,64,overall,0.6252777777777778,0.006360330192240099,20
aime2026_Qwen3-4B-Instruct-2507,128,L1,1.0,0.0,5
aime2026_Qwen3-4B-Instruct-2507,128,L2,1.0,0.0,1
aime2026_Qwen3-4B-Instruct-2507,128,L3,0.9989583333333334,0.002551551815399135,4
aime2026_Qwen3-4B-Instruct-2507,128,L4,0.6307291666666667,0.023668995630712075,4
aime2026_Qwen3-4B-Instruct-2507,128,L5,0.0,0.0,6
aime2026_Qwen3-4B-Instruct-2507,128,overall,0.6259375,0.0106464244780427,20
aime2026_Qwen3-4B-Instruct-2507,256,L1,1.0,0.0,5
aime2026_Qwen3-4B-Instruct-2507,256,L2,1.0,0.0,1
aime2026_Qwen3-4B-Instruct-2507,256,L3,1.0,0.0,4
aime2026_Qwen3-4B-Instruct-2507,256,L4,0.6546875000000001,0.01261664327386648,4
aime2026_Qwen3-4B-Instruct-2507,256,L5,0.0,0.0,6
aime2026_Qwen3-4B-Instruct-2507,256,overall,0.6309375,0.005642334401646189,20
