model,dataset,N,stratum,acc_v1_mean,acc_v1_std,n_pids
Qwen2.5-3B,gsm8kfull,256,L4,0.6871897168457508,0.0033700767201466,47
Qwen2.5-3B,gsm8kfull,256,L5,0.2301190479688109,0.0024582684079364,105
Qwen2.5-3B,gsm8kfull,256,Lr,0.018601190387493,0.0028608604449358,28
Qwen2.5-3B,gsm8kfull,256,overall,0.8954903263143853,0.0012922236796284,1318
Qwen2.5-3B,gsm8kfull,256,overall_md_compat,0.9145235788771396,0.0012363001745162,1290
Qwen2.5-3B,gsm8kfull,512,L1,0.9947773412186542,0.0001880996004527,1018
Qwen2.5-3B,gsm8kfull,512,L2,0.9111023204291108,0.0025185906451027,79
Qwen2.5-3B,gsm8kfull,512,L3,0.9287093503521828,0.0045196727406979,41
Qwen2.5-3B,gsm8kfull,512,L4,0.7038563841339598,0.0038751381938496,47
Qwen2.5-3B,gsm8kfull,512,L5,0.2355687833938097,0.0031575601505889,105
Qwen2.5-3B,gsm8kfull,512,Lr,0.0171875000177394,0.0036130388321119,28
Qwen2.5-3B,gsm8kfull,512,overall,0.8960809729514962,0.0016279127475083,1318
Qwen2.5-3B,gsm8kfull,512,overall_md_compat,0.9151577305035468,0.0015570092323783,1290
Qwen2.5-3B,gsm8kfull,1024,L1,0.9946156679832552,0.0001328741859562,1018
Qwen2.5-3B,gsm8kfull,1024,L2,0.9124472575686592,0.0027124274104879,79
Qwen2.5-3B,gsm8kfull,1024,L3,0.9289634159834282,0.0051342766897421,41
Qwen2.5-3B,gsm8kfull,1024,L4,0.7035017735423877,0.0047230229235063,47
Qwen2.5-3B,gsm8kfull,1024,L5,0.2387698419199931,0.0032144320651615,105
Qwen2.5-3B,gsm8kfull,1024,Lr,0.0191964285581239,0.0059158102228284,28
Qwen2.5-3B,gsm8kfull,1024,overall,0.8963296662882531,0.0019070285938121,1318
Qwen2.5-3B,gsm8kfull,1024,overall_md_compat,0.915368217184721,0.0017193239214243,1290
Qwen2.5-3B,gsm8kfull,1536,L1,0.9950229207666124,0.0001725476676062,1018
Qwen2.5-3B,gsm8kfull,1536,L2,0.9132383968445318,0.002261422566735,79
Qwen2.5-3B,gsm8kfull,1536,L3,0.929725610900943,0.0025779787244427,41
Qwen2.5-3B,gsm8kfull,1536,L4,0.7071365261258862,0.004489614986559,47
Qwen2.5-3B,gsm8kfull,1536,L5,0.241964286404647,0.0033543133695755,105
Qwen2.5-3B,gsm8kfull,1536,Lr,0.0148809523809523,0.0022351171596729,28
Qwen2.5-3B,gsm8kfull,1536,overall,0.897007777090394,0.0015025128582379,1318
Qwen2.5-3B,gsm8kfull,1536,overall_md_compat,0.9161547159212968,0.0014826027814712,1290
Qwen2.5-3B,gsm8kfull,2048,L1,0.9948325966425076,0.0002022741969753,1018
Qwen2.5-3B,gsm8kfull,2048,L2,0.9110759496649546,0.0015631759474328,79
Qwen2.5-3B,gsm8kfull,2048,L3,0.9322662603231224,0.0030452211571231,41
Qwen2.5-3B,gsm8kfull,2048,L4,0.7054521289079431,0.0081623373473823,47
Qwen2.5-3B,gsm8kfull,2048,L5,0.2397023811803332,0.0041127469595647,105
Qwen2.5-3B,gsm8kfull,2048,Lr,0.0183779760485603,0.0038961389872532,28
Qwen2.5-3B,gsm8kfull,2048,overall,0.896644221161472,0.0021242321171218,1318
Qwen2.5-3B,gsm8kfull,2048,overall_md_compat,0.9157073644662486,0.0020690139318951,1290
Qwen2.5-3B,math1k,128,L1,0.9998010888670756,0.0001152542723113,199
Qwen2.5-3B,math1k,128,L2,0.9648136518266944,0.0010498913062844,199
Qwen2.5-3B,math1k,128,L3,0.9114635685502458,0.0011573819412985,199
Qwen2.5-3B,math1k,128,L4,0.7011631098591183,0.0035552704567802,203
Qwen2.5-3B,math1k,128,L5,0.1389132443772784,0.0038731863096393,200
Qwen2.5-3B,math1k,128,Lr,,,0
Qwen2.5-3B,math1k,128,overall,0.7424583437164158,0.0024606475671816,1000
Qwen2.5-3B,math1k,128,overall_md_compat,0.7424583437164158,0.0024606475671816,1000
Qwen2.5-3B,math1k,256,L1,0.9997906198154142,0.0001521432371718,199
Qwen2.5-3B,math1k,256,L2,0.9637772196847664,0.0012852604574884,199
Qwen2.5-3B,math1k,256,L3,0.9133689286822212,0.0010438606832389,199
Qwen2.5-3B,math1k,256,L4,0.7144430775687783,0.0032342190652377,203
Qwen2.5-3B,math1k,256,L5,0.1414475698179255,0.0022180565327043,200
Qwen2.5-3B,math1k,256,Lr,,,0
Qwen2.5-3B,math1k,256,overall,0.7458318755783451,0.0019124703415839,1000
Qwen2.5-3B,math1k,256,overall_md_compat,0.7458318755783451,0.0019124703415839,1000
Qwen2.5-3B,math1k,512,L1,0.9999162479361496,0.0001025749473527,199
Qwen2.5-3B,math1k,512,L2,0.9636201843934468,0.0009998427249785,199
Qwen2.5-3B,math1k,512,L3,0.9130129822954172,0.0019012718514753,199
Qwen2.5-3B,math1k,512,L4,0.7189552553559307,0.0036013308218774,203
Qwen2.5-3B,math1k,512,L5,0.1414972225770664,0.0021667096913447,200
Qwen2.5-3B,math1k,512,Lr,,,0
Qwen2.5-3B,math1k,512,overall,0.746680694863045,0.0021194657284085,1000
Qwen2.5-3B,math1k,512,overall_md_compat,0.746680694863045,0.0021194657284085,1000
Qwen2.5-3B,math1k,1024,L1,0.9997278057051264,0.0001621851781181,199
Qwen2.5-3B,math1k,1024,L2,0.9623429648706088,0.0009100456135285,199
Qwen2.5-3B,math1k,1024,L3,0.9137981581958744,0.0012184420934477,199
Qwen2.5-3B,math1k,1024,L4,0.7207101814139921,0.0017401906886409,203
Qwen2.5-3B,math1k,1024,L5,0.1430069445221064,0.0016261037557005,200
Qwen2.5-3B,math1k,1024,Lr,,,0
Qwen2.5-3B,math1k,1024,overall,0.747203472557012,0.0012684867958704,1000
Qwen2.5-3B,math1k,1024,overall_md_compat,0.747203472557012,0.0012684867958704,1000
Qwen2.5-3B,math1k,1536,L1,0.9998324958223792,0.0001521432371718,199
Qwen2.5-3B,math1k,1536,L2,0.9633793972098772,0.0006293956893377,199
Qwen2.5-3B,math1k,1536,L3,0.9145728649284498,0.0018283103443481,199
Qwen2.5-3B,math1k,1536,L4,0.7189415720664577,0.0026766770036875,203
Qwen2.5-3B,math1k,1536,L5,0.1448645836231298,0.0016218319669387,200
Qwen2.5-3B,math1k,1536,Lr,,,0
Qwen2.5-3B,math1k,1536,overall,0.7475972226882975,0.0016520050178702,1000
Qwen2.5-3B,math1k,1536,overall_md_compat,0.7475972226882975,0.0016520050178702,1000
Qwen2.5-3B,math1k,2048,L1,0.9998534338757818,9.456947117393276e-05,199
Qwen2.5-3B,math1k,2048,L2,0.9627512565391196,0.0012321809390575,199
Qwen2.5-3B,math1k,2048,L3,0.9146880241082842,0.0020732132882374,199
Qwen2.5-3B,math1k,2048,L4,0.720874385269013,0.0019689037740726,203
Qwen2.5-3B,math1k,2048,L5,0.1424756949814036,0.0017588771704224,200
Qwen2.5-3B,math1k,2048,Lr,,,0
Qwen2.5-3B,math1k,2048,overall,0.7474138893960044,0.0016015417047516,1000
Qwen2.5-3B,math1k,2048,overall_md_compat,0.7474138893960044,0.0016015417047516,1000
Phi-4-mini-instruct,math500,128,L1,0.9927228682262952,0.0004326091807687,215
Phi-4-mini-instruct,math500,128,L2,0.9319767449556512,0.0048224281818052,43
Phi-4-mini-instruct,math500,128,L3,0.9399305573768084,0.0026009699497006,30
Phi-4-mini-instruct,math500,128,L4,0.5604847517333242,0.0068042694955672,51
Phi-4-mini-instruct,math500,128,L5,0.1266706925580628,0.0013186762916635,138
Phi-4-mini-instruct,math500,128,Lr,0.056740196312175,0.0016386780747204,17
Phi-4-mini-instruct,math500,128,overall,0.6654619325339473,0.0028061563625512,494
Phi-4-mini-instruct,math500,128,overall_md_compat,0.6871564178919558,0.0028389179757369,477
Phi-4-mini-instruct,math500,256,L1,0.992093023265055,0.0003268249113655,215
Phi-4-mini-instruct,math500,256,L2,0.9292635663751828,0.0052733120141997,43
Phi-4-mini-instruct,math500,256,L3,0.9469444452060594,0.0050598262036675,30
Phi-4-mini-instruct,math500,256,L4,0.5651143789413123,0.0032724643781077,51
Phi-4-mini-instruct,math500,256,L5,0.1345913850799077,0.0016915399901753,138
Phi-4-mini-instruct,math500,256,Lr,0.0549019610180574,0.0025752790631514,17
Phi-4-mini-instruct,math500,256,overall,0.6680049484142564,0.0024809077769508,494
Phi-4-mini-instruct,math500,256,overall_md_compat,0.689855578992318,0.0024774781000491,477
Phi-4-mini-instruct,math500,512,L1,0.9920155037743176,0.0003815417774476,215
Phi-4-mini-instruct,math500,512,L2,0.9278585273887988,0.0037291725615411,43
Phi-4-mini-instruct,math500,512,L3,0.9513194446762402,0.0042932175152286,30
Phi-4-mini-instruct,math500,512,L4,0.5692810466044332,0.0051099644287554,51
Phi-4-mini-instruct,math500,512,L5,0.1363627214191688,0.0013748593213862,138
Phi-4-mini-instruct,math500,512,Lr,0.0544117642383949,0.0018601632186365,17
Phi-4-mini-instruct,math500,512,overall,0.6690227171137814,0.0023950075382328,494
Phi-4-mini-instruct,math500,512,overall_md_compat,0.6909270906963423,0.0024118812585926,477
Phi-4-mini-instruct,math500,1024,L1,0.9917926356773968,0.0006013062392748,215
Phi-4-mini-instruct,math500,1024,L2,0.9270348850161184,0.0040196237853334,43
Phi-4-mini-instruct,math500,1024,L3,0.9436111114091345,0.0041805321872133,30
Phi-4-mini-instruct,math500,1024,L4,0.5734885628639532,0.0050881709676614,51
Phi-4-mini-instruct,math500,1024,L5,0.1393115946129954,0.0012353423427263,138
Phi-4-mini-instruct,math500,1024,Lr,0.0561274517984951,0.0019546482961297,17
Phi-4-mini-instruct,math500,1024,overall,0.6697031042749734,0.0024198581611183,494
Phi-4-mini-instruct,math500,1024,overall_md_compat,0.6915705803590407,0.0024347981416463,477
Phi-4-mini-instruct,math500,1536,L1,0.991618217146674,0.000538431901867,215
Phi-4-mini-instruct,math500,1536,L2,0.9303294575318348,0.0014437659897108,43
Phi-4-mini-instruct,math500,1536,L3,0.945972223745452,0.00304670331205,30
Phi-4-mini-instruct,math500,1536,L4,0.5736928105512573,0.006084490185398,51
Phi-4-mini-instruct,math500,1536,L5,0.1387681161651864,0.0030297524382286,138
Phi-4-mini-instruct,math500,1536,Lr,0.0556372550188326,0.0017191849692452,17
Phi-4-mini-instruct,math500,1536,overall,0.6699097505607233,0.0027128083607537,494
Phi-4-mini-instruct,math500,1536,overall_md_compat,0.6918020617225937,0.0027415826878539,477
Phi-4-mini-instruct,math500,2048,L1,0.991686046585556,0.0007454566411338,215
Phi-4-mini-instruct,math500,2048,L2,0.929166667423276,0.003363394893522,43
Phi-4-mini-instruct,math500,2048,L3,0.9462500007616148,0.0031402404395782,30
Phi-4-mini-instruct,math500,2048,L4,0.5741830067678653,0.0081579981417181,51
Phi-4-mini-instruct,math500,2048,L5,0.1399456526868153,0.0033614719648751,138
Phi-4-mini-instruct,math500,2048,Lr,0.0551470594078886,0.0025892386898002,17
Phi-4-mini-instruct,math500,2048,overall,0.6702176116676509,0.003476131661569,494
Phi-4-mini-instruct,math500,2048,overall_md_compat,0.6921383651024854,0.0035035992417241,477
Llama-3.2-3B,mathfull,128,L1,0.9958358003133152,0.0001898808838348,1689
Llama-3.2-3B,mathfull,128,L2,0.9735388891990816,0.0008346436751624,375
Llama-3.2-3B,mathfull,128,L3,0.8988271611476583,0.0024927553572783,315
Llama-3.2-3B,mathfull,128,L4,0.7375406417614161,0.0011218901874512,476
Llama-3.2-3B,mathfull,128,L5,0.1411137321124526,0.0003127367855933,1749
Llama-3.2-3B,mathfull,128,Lr,0.0034398446206426,0.0006639576047927,311
Llama-3.2-3B,mathfull,128,overall,0.5959555158820938,0.000805217134442,4915
Llama-3.2-3B,mathfull,128,overall_md_compat,0.6359799237366358,0.0008138756718831,4604
Llama-3.2-3B,mathfull,256,L1,0.995464525386053,0.000216246930284,1689
Llama-3.2-3B,mathfull,256,L2,0.969855555747946,0.0006141538986903,375
Llama-3.2-3B,mathfull,256,L3,0.8972222230067014,0.0014537029489977,315
Llama-3.2-3B,mathfull,256,L4,0.7488598577056669,0.0016195724473568,476
Llama-3.2-3B,mathfull,256,L5,0.150420438970221,0.0008509725466851,1749
Llama-3.2-3B,mathfull,256,Lr,0.0042189174767938,0.0006660506806342,311
Llama-3.2-3B,mathfull,256,overall,0.5999013510461304,0.0008485723680256,4915
Llama-3.2-3B,mathfull,256,overall_md_compat,0.6401396735570044,0.0008595052962494,4604
Llama-3.2-3B,mathfull,512,L1,0.9952745708007052,8.890242675121825e-05,1689
Llama-3.2-3B,mathfull,512,L2,0.9677055556757582,0.00101771348468,375
Llama-3.2-3B,mathfull,512,L3,0.8956415349213533,0.0016737220935508,315
Llama-3.2-3B,mathfull,512,L4,0.7539551247479341,0.0012800052879719,476
Llama-3.2-3B,mathfull,512,L5,0.1541567406494987,0.0008000719122968,1749
Llama-3.2-3B,mathfull,512,Lr,0.0047583958784882,0.0005713377993502,311
Llama-3.2-3B,mathfull,512,overall,0.6014278854232403,0.0008175517078604,4915
Llama-3.2-3B,mathfull,512,overall_md_compat,0.6417328835223756,0.0008315590433428,4604
Llama-3.2-3B,mathfull,1024,L1,0.9951117525328608,9.725826643457434e-05,1689
Llama-3.2-3B,mathfull,1024,L2,0.9666055556196306,0.0009978679321937,375
Llama-3.2-3B,mathfull,1024,L3,0.8944113764217095,0.0019523514365862,315
Llama-3.2-3B,mathfull,1024,L4,0.7551733202849454,0.0010885920541487,476
Llama-3.2-3B,mathfull,1024,L5,0.1550600344426284,0.0007194256862539,1749
Llama-3.2-3B,mathfull,1024,Lr,0.0050777063244855,0.0003202008647081,311
Llama-3.2-3B,mathfull,1024,overall,0.6016687862300931,0.0007930592665627,4915
Llama-3.2-3B,mathfull,1024,overall_md_compat,0.6419684877615102,0.0008151700868983,4604
Llama-3.2-3B,mathfull,1536,L1,0.9951055851899704,0.0001661921439992,1689
Llama-3.2-3B,mathfull,1536,L2,0.9662166669418416,0.0005795592054514,375
Llama-3.2-3B,mathfull,1536,L3,0.8943584661590792,0.001021751581067,315
Llama-3.2-3B,mathfull,1536,L4,0.7561143217898557,0.0007955530385848,476
Llama-3.2-3B,mathfull,1536,L5,0.1549520363172291,0.0003124181785906,1749
Llama-3.2-3B,mathfull,1536,Lr,0.004990621643602,0.0004102173057523,311
Llama-3.2-3B,mathfull,1536,overall,0.6016807960022637,0.0004568388978172,4915
Llama-3.2-3B,mathfull,1536,overall_md_compat,0.6419871913596797,0.0004598177758326,4604
Llama-3.2-3B,mathfull,2048,L1,0.9951610914020717,0.000110012930594,1689
Llama-3.2-3B,mathfull,2048,L2,0.9658555556039016,0.0009918928700643,375
Llama-3.2-3B,mathfull,2048,L3,0.8939285720466937,0.0003705592783819,315
Llama-3.2-3B,mathfull,2048,L4,0.7551076690492243,0.000921253713955,476
Llama-3.2-3B,mathfull,2048,L5,0.1547610541881593,0.0005787066762926,1749
Llama-3.2-3B,mathfull,2048,Lr,0.0049414969840968,0.0004356534676767,311
Llama-3.2-3B,mathfull,2048,overall,0.6014762068624305,0.0005490014364767,4915
Llama-3.2-3B,mathfull,2048,overall_md_compat,0.641772100600954,0.0005558252743339,4604
Qwen2.5-3B,mathfull,128,L1,0.9984185083184396,5.066549384302707e-05,2715
Qwen2.5-3B,mathfull,128,L2,0.9649631080376112,0.0006689170705771,384
Qwen2.5-3B,mathfull,128,L3,0.8927403309237342,0.0020074629521142,293
Qwen2.5-3B,mathfull,128,L4,0.7185470540349957,0.0014252930147144,361
Qwen2.5-3B,mathfull,128,L5,0.1425050322875775,0.0008778106911296,1018
Qwen2.5-3B,mathfull,128,Lr,0.0015802539511394,0.0002356332811706,194
Qwen2.5-3B,mathfull,128,overall,0.7548030572353613,0.0007626876780397,4965
Qwen2.5-3B,mathfull,128,overall_md_compat,0.7854308551471489,0.0007765872601884,4771
Qwen2.5-3B,mathfull,256,L1,0.9982957336076286,6.552758874225056e-05,2715
Qwen2.5-3B,mathfull,256,L2,0.96430121559792,0.0008091445654183,384
Qwen2.5-3B,mathfull,256,L3,0.8932593861818358,0.0009470605826803,293
Qwen2.5-3B,mathfull,256,L4,0.7289627591923691,0.0019281131784536,361
Qwen2.5-3B,mathfull,256,L5,0.1456286548444734,0.0009229615692131,1018
Qwen2.5-3B,mathfull,256,Lr,0.0024001289205465,0.0006884169072523,194
Qwen2.5-3B,mathfull,256,overall,0.7561451632218119,0.0007545844540613,4965
Qwen2.5-3B,mathfull,256,overall_md_compat,0.7867941962661309,0.0007571526479933,4771
Qwen2.5-3B,mathfull,512,L1,0.998201350547474,6.833049335109247e-05,2715
Qwen2.5-3B,mathfull,512,L2,0.9646267364700584,0.0006154554036045,384
Qwen2.5-3B,mathfull,512,L3,0.8931740622032981,0.0019000692789772,293
Qwen2.5-3B,mathfull,512,L4,0.7331659749888971,0.0020845244071025,361
Qwen2.5-3B,mathfull,512,L5,0.1478632533922486,0.0005662847584327,1018
Qwen2.5-3B,mathfull,512,Lr,0.0032270188824212,0.0003835882704632,194
Qwen2.5-3B,mathfull,512,overall,0.7569097853683688,0.0007951977409726,4965
Qwen2.5-3B,mathfull,512,overall_md_compat,0.7875562864579253,0.0008075077654494,4771
Qwen2.5-3B,mathfull,1024,L1,0.9981944444523568,6.731473225286026e-05,2715
Qwen2.5-3B,mathfull,1024,L2,0.96389973960888,0.0004575855552661,384
Qwen2.5-3B,mathfull,1024,L3,0.8926336750673157,0.0008733412237693,293
Qwen2.5-3B,mathfull,1024,L4,0.7372480003947491,0.0021445099860523,361
Qwen2.5-3B,mathfull,1024,L5,0.1481697502746975,0.0004278805953578,1018
Qwen2.5-3B,mathfull,1024,Lr,0.00297465637051,0.0006750617119842,194
Qwen2.5-3B,mathfull,1024,overall,0.7571676738672122,0.000673357220716,4965
Qwen2.5-3B,mathfull,1024,overall_md_compat,0.7878349229542715,0.0006732878208233,4771
Qwen2.5-3B,mathfull,1536,L1,0.9982220687714226,5.489579754573086e-05,2715
Qwen2.5-3B,mathfull,1536,L2,0.9646430123919142,0.000761305742131,384
Qwen2.5-3B,mathfull,1536,L3,0.89296786166967,0.0013885628260131,293
Qwen2.5-3B,mathfull,1536,L4,0.7365247007190239,0.0013956345838941,361
Qwen2.5-3B,mathfull,1536,L5,0.1485435770848642,0.0005855435190074,1018
Qwen2.5-3B,mathfull,1536,Lr,0.0029639175443356,0.0002703115628347,194
Qwen2.5-3B,mathfull,1536,overall,0.7572836244466629,0.0006123996571907,4965
Qwen2.5-3B,mathfull,1536,overall_md_compat,0.7879560250207671,0.0006223439097975,4771
Qwen2.5-3B,mathfull,2048,L1,0.9981921424254536,5.651305741933923e-05,2715
Qwen2.5-3B,mathfull,2048,L2,0.964225260689596,0.0004117548835735,384
Qwen2.5-3B,mathfull,2048,L3,0.8921786127739137,0.0014370653873324,293
Qwen2.5-3B,mathfull,2048,L4,0.7382444606664816,0.0016389127379056,361
Qwen2.5-3B,mathfull,2048,L5,0.1486725063725254,0.0010094740494297,1018
Qwen2.5-3B,mathfull,2048,Lr,0.00336125427601,0.000679963977149,194
Qwen2.5-3B,mathfull,2048,overall,0.7573553767270987,0.000747685432957,4965
Qwen2.5-3B,mathfull,2048,overall_md_compat,0.7880145382771954,0.0007503098311424,4771
Phi-4-mini-instruct,aime,128,L1,1.0,0.0,1
Phi-4-mini-instruct,aime,128,L2,0.9635416666666667,0.027051268021191135,2
Phi-4-mini-instruct,aime,128,L3,,,0
Phi-4-mini-instruct,aime,128,L4,,,0
Phi-4-mini-instruct,aime,128,L5,0.016957070373676008,0.0027115881049926092,55
Phi-4-mini-instruct,aime,128,Lr,0.0,0.0,44
Phi-4-mini-instruct,aime,128,overall,0.03784041376358345,0.004279386587801434,102
Phi-4-mini-instruct,aime,128,overall_md_compat,0.06654693454975023,0.005675022794912712,58
Phi-4-mini-instruct,aime,256,L1,1.0,0.0,1
Phi-4-mini-instruct,aime,256,L2,0.9520833343267441,0.026020820221138257,2
Phi-4-mini-instruct,aime,256,L3,,,0
Phi-4-mini-instruct,aime,256,L4,,,0
Phi-4-mini-instruct,aime,256,L5,0.016856060868524217,0.004746250354025075,55
Phi-4-mini-instruct,aime,256,Lr,0.0,0.0,44
Phi-4-mini-instruct,aime,256,overall,0.037561274670807034,0.005042121842908679,102
Phi-4-mini-instruct,aime,256,overall_md_compat,0.06605603476590209,0.006686508873678311,58
Phi-4-mini-instruct,aime,512,L1,1.0,0.0,1
Phi-4-mini-instruct,aime,512,L2,0.9468750009934108,0.03835822980975314,2
Phi-4-mini-instruct,aime,512,L3,,,0
Phi-4-mini-instruct,aime,512,L4,,,0
Phi-4-mini-instruct,aime,512,L5,0.019431818118601115,0.004251275894530935,55
Phi-4-mini-instruct,aime,512,Lr,0.0,0.0,44
Phi-4-mini-instruct,aime,512,overall,0.038848039201077246,0.00621252818552309,102
Phi-4-mini-instruct,aime,512,overall_md_compat,0.06831896549154971,0.008238619798309615,58
Phi-4-mini-instruct,aime,1024,L1,1.0,0.0,1
Phi-4-mini-instruct,aime,1024,L2,0.9583333383003871,0.028867515180121765,2
Phi-4-mini-instruct,aime,1024,L3,,,0
Phi-4-mini-instruct,aime,1024,L4,,,0
Phi-4-mini-instruct,aime,1024,L5,0.017727272697921917,0.004050828495368382,55
Phi-4-mini-instruct,aime,1024,Lr,0.0,0.0,44
Phi-4-mini-instruct,aime,1024,overall,0.03815359485280861,0.005018762344294609,102
Phi-4-mini-instruct,aime,1024,overall_md_compat,0.06709770129287032,0.006655531142549602,58
Phi-4-mini-instruct,aime,1536,L1,1.0,0.0,1
Phi-4-mini-instruct,aime,1536,L2,0.9645833273728688,0.017380548108236006,2
Phi-4-mini-instruct,aime,1536,L3,,,0
Phi-4-mini-instruct,aime,1536,L4,,,0
Phi-4-mini-instruct,aime,1536,L5,0.017992424468199396,0.0046420605062668175,55
Phi-4-mini-instruct,aime,1536,Lr,0.0,0.0,44
Phi-4-mini-instruct,aime,1536,overall,0.038419117651928465,0.004188390608828726,102
Phi-4-mini-instruct,aime,1536,overall_md_compat,0.06756465518097766,0.005554350300310968,58
Phi-4-mini-instruct,aime,2048,L1,1.0,0.0,1
